,fare price,fuel price,fare price / fuel price
2000,371.7169999999999,0.849952,437.33881442716756
2001,350.405,0.7249880000000001,483.32524124537224
2002,332.142,0.687064,483.4222139422237
2003,332.255,0.8236,403.4179213210296
2004,314.411,1.151136546184739,273.1309339817816
2005,321.474,1.7155976095617531,187.3831009138093
2006,336.90999999999997,1.9230200803212851,175.19837855448256
2007,336.06800000000004,2.1309126984126983,157.71082515503085
2008,357.322,2.9644466403162055,120.53581776121493
2009,317.71899999999994,1.6642896825396827,190.90366498887693
2010,344.467,2.1498804780876495,160.2261165264445
2011,365.7700000000001,2.9985119047619047,121.98384119106703
2012,374.57000000000005,3.056190476190476,122.56107821751327
2013,383.7780000000001,2.920492063492064,131.4086775983608
2014,395.08799999999997,2.692702380952381,146.72546167551627
2015,371.51599999999996,1.521793650793651,244.13033909442694
2016,337.82800000000003,1.2517063492063492,269.8939733062804
2017,333.14,1.55794,213.83365213037726
2018,339.574,2.02685140562249,167.53768878074683
2019,345.696,1.8787108433734938,184.00702865974492
2020,282.454,1.098829365079365,257.0499196475326
2021,296.65,1.858215139442231,159.64244058900712
